ra,dec,glon,glat,elon,elat,raerr,decerr,pmra,pmdec,pmraerr,pmdecerr,mjd,deltamjd,umag,urms,uerr,uasemi,ubsemi,utheta,gmag,grms,gerr,gasemi,gbsemi,gtheta,rmag,rrms,rerr,rasemi,rbsemi,rtheta,imag,irms,ierr,iasemi,ibsemi,itheta,zmag,zrms,zerr,zasemi,zbsemi,ztheta,ymag,yrms,yerr,yasemi,ybsemi,ytheta,vrmag,vrrms,vrerr,vrasemi,vrbsemi,vrtheta,asemi,asemierr,bsemi,bsemierr,theta,thetaerr,fwhm,class_star,ebv,random_id,pix,ndet,nphot,htm9,ring256,nest4096,ndetu,nphotu,ndetg,nphotg,ndetr,nphotr,ndeti,nphoti,ndetz,nphotz,ndety,nphoty,ndetvr,nphotvr,flags,id,rmsvar,madvar,iqrvar,etavar,jvar,kvar,chivar,romsvar,nsigvar,variable10sig,parent,Vmag
146.09191510825394,-21.3166658362688,255.08803675252335,23.71201834412111,156.7476299295298,-32.70055630055377,0.008054,0.008071,-2.649889,-22.13444,21.313559,21.647863,57769.35372293406,709.0249,99.99,,9.99,,,,22.606956,0.203457,0.058555,0.440674,0.370667,85.78125,21.447393,0.035862,0.022904,0.571411,0.543823,129.29688,20.530931,0.041365,0.020834,0.6,0.56709,34.168556,20.131693,0.019544,0.01988,0.53597,0.507487,25.195312,99.99,,9.99,,,,99.99,,9.99,,,,0.541016,0.007605,0.500992,0.006635,69.171326,14.646878,1.248993,0.899567,0.056715,85.68336,134095,16,16,2584321,536479,164874712,0,0,4,4,4,4,5,5,3,3,0,0,0,0,0,134095_7773,0.106191,0.039577,0.038258,0.72553,-0.095759,0.818891,0.246078,0.859781,-0.87579,0,0,21.912814273834226
146.09221231753057,-21.315028795621046,255.086983958535,23.71337017255841,156.74716940611523,-32.69894187228524,0.004072,0.004184,-0.503347,-11.003922,10.064018,10.750413,57769.35372293406,709.0249,99.99,,9.99,,,,19.712374,0.007944,0.007748,0.745239,0.713745,106.82422,19.305113,0.013538,0.004838,0.708374,0.664307,84.71875,19.114233,0.00778,0.00659,0.711328,0.668652,47.801952,19.021318,0.007382,0.008366,0.59668,0.564941,27.69401,99.99,,9.99,,,,99.99,,9.99,,,,0.697571,0.002405,0.659393,0.002166,68.01648,15.983687,1.039612,0.980469,0.056702,82.07346,134095,16,16,2584321,536479,164874712,0,0,4,4,4,4,5,5,3,3,0,0,0,0,2,134095_7761,0.009525,0.009826,0.009696,0.58293,-0.779315,0.884341,0.137556,0.519025,-0.881056,0,0,19.462089805603025
146.08785615784498,-21.311720658006696,255.08129576336847,23.71283138894367,156.74119138245402,-32.697490901846855,0.04577,0.045722,-112598.89,381993.84,586012.6,584706.4,57827.16120112687,0.064958,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,20.484375,,0.070923,0.723145,0.612305,85.75,21.029768,0.683202,0.041874,0.630697,0.507161,108.94271,99.99,,9.99,,,,99.99,,9.99,,,,0.653809,0.01569,0.533447,0.012495,103.14453,27.382446,2.069824,0.235346,0.056843,39.418446,134095,4,4,2584321,536479,164874712,0,0,0,0,0,0,1,1,3,3,0,0,0,0,3,134095_11101,0.683202,0.162159,0.457514,1.096045,10.657245,0.973904,6.347294,16.060406,5.611648,0,0,99.97999786376953
146.08913096748026,-21.30806080332437,255.07938026127232,23.716256207023868,156.7407835762477,-32.693658504838396,0.018944,0.019012,46.560852,13.955566,45.813213,45.976646,57762.224528983235,709.0249,99.99,,9.99,,,,22.386337,0.021678,0.080917,0.57487,0.44751,79.25521,21.128157,0.082531,0.037199,0.760254,0.644694,49.052082,20.561728,0.17437,0.031984,0.701953,0.597461,50.778126,20.189198,0.022162,0.035478,0.687337,0.543132,54.010418,99.99,,9.99,,,,99.99,,9.99,,,,0.684082,0.008884,0.563808,0.007211,57.203125,11.989368,1.860212,0.134404,0.05681,10.810035,134095,14,14,2584321,536479,164874714,0,0,3,3,3,3,5,5,3,3,0,0,0,0,0,134095_7842,0.111913,0.047413,0.036933,0.39994,-0.302618,0.640441,0.320657,0.827502,-0.408854,0,0,21.634010715484617
146.09179897749797,-21.31299055084578,255.08511036931412,23.714536427012604,156.7457983328459,-32.69721807697048,0.003621,0.003725,-13.011742,10.20446,8.837601,9.612822,57769.35372293406,709.0249,99.99,,9.99,,,,17.747828,0.013071,0.004328,0.844238,0.806885,133.42188,17.152128,0.006769,0.002515,0.7948,0.767944,120.5,16.921406,0.009893,0.001574,0.833887,0.815918,96.625,16.810999,0.012846,0.002197,0.68457,0.660319,131.33333,99.99,,9.99,,,,99.99,,9.99,,,,0.798706,8.36E-4,0.772491,7.71E-4,118.30078,11.750197,1.041412,0.985748,0.056713,69.7133,134095,16,16,2584321,536479,164874712,0,0,4,4,4,4,5,5,3,3,0,0,0,0,2,134095_7759,0.010756,0.011583,0.011944,0.478984,-0.676585,0.789985,0.156558,0.527695,0.490613,0,0,17.386364936828613
146.093885526046,-21.309134804600454,255.08362663837866,23.718635219935376,156.74612569811592,-32.69290884021831,0.115662,0.115621,-2042.2739,1544.5006,12345.967,12340.864,57823.736228971626,6.881794,99.99,,9.99,,,,99.99,,9.99,,,,22.068602,0.219826,0.112341,0.634521,0.498901,150.9375,21.9375,,0.210571,0.525879,0.394043,5.152344,20.84375,,0.166382,0.638184,0.490967,31.125,99.99,,9.99,,,,99.99,,9.99,,,,0.608276,0.024695,0.470703,0.018541,84.538086,34.32272,2.265137,0.006523,0.056643,72.58228,134095,4,4,2584321,536479,164874712,0,0,0,0,2,2,1,1,1,1,0,0,0,0,3,134095_11012,0.219826,0.324319,0.162157,0.504933,1.668619,0.993422,1.388038,3.90014,4.010278,0,0,54.00637519836426
146.0974246131323,-21.318345134484133,255.09329352906292,23.714467553492916,156.754023080607,-32.700087373761065,0.005529,0.005617,-71.71575,64.38685,77.02523,92.80664,57812.895286380466,73.79581,99.99,,9.99,,,,15.821375,0.006467,0.004664,0.937663,0.900065,130.9375,15.417907,0.008763,0.004052,0.888184,0.881348,144.625,15.262894,0.003685,0.001369,0.957194,0.939128,38.934895,15.203125,,0.002304,0.79248,0.781738,170.125,99.99,,9.99,,,,99.99,,9.99,,,,0.917046,4.87E-4,0.895779,4.63E-4,107.6658,13.307134,1.175347,0.989692,0.056765,49.797077,134095,9,9,2584321,536479,164874712,0,0,3,3,2,2,3,3,1,1,0,0,0,0,2,134095_10111,0.006322,0.007853,0.005848,0.444676,-0.898202,0.831069,0.14743,0.396059,-0.193594,0,0,15.573328695297242
146.09687399206317,-21.316664909528154,255.09159833386602,23.715290604253653,156.75267905542015,-32.6987431018256,0.00434,0.004407,-14.082494,4.872748,9.5719,10.297477,57769.35372293406,709.0249,99.99,,9.99,,,,21.369776,0.119202,0.030693,0.748047,0.617432,148.04688,20.004154,0.027897,0.008068,0.760132,0.697632,85.7793,18.810932,0.023849,0.005105,0.758301,0.731836,110.95,18.29794,0.012802,0.005023,0.664062,0.611328,101.151695,99.99,,9.99,,,,99.99,,9.99,,,,0.738525,0.004377,0.672089,0.003666,112.09436,14.502629,1.116577,0.920288,0.056721,30.468517,134095,16,16,2584321,536479,164874712,0,0,4,4,4,4,5,5,3,3,0,0,0,0,3,134095_7719,0.062891,0.034329,0.0304,0.420812,0.389795,0.839339,0.362408,1.297848,0.426046,0,0,20.554059047698974
146.09513444575828,-21.309538389448583,255.08483606754035,23.719174337215986,156.74758556193055,-32.69282363795418,0.005348,0.005646,-35.62557,24.495111,60.129356,74.81688,57805.5688284873,73.7972,99.99,,9.99,,,,15.797012,0.009569,0.004286,0.916504,0.885498,126.046875,15.5,,0.006008,0.852539,0.832031,109.5,15.359375,0.0,0.001385,0.976237,0.95752,99.020836,15.320312,,0.002338,0.808594,0.788574,132.625,99.99,,9.99,,,,99.99,,9.99,,,,0.917318,5.43E-4,0.892795,4.99E-4,115.93056,7.235457,1.16786,0.990723,0.056599,69.29124,134095,9,9,2584321,536479,164874712,0,0,4,4,1,1,3,3,1,1,0,0,0,0,0,134095_8926,0.007234,2.04E-4,0.002998,0.861572,-0.889222,0.622581,0.157853,0.30335,-1.18762,0,0,15.611775054931641
146.098794800898,-21.310458798312652,255.0881777584565,23.720939552255928,156.75174179495397,-32.69233250413579,0.005325,0.005364,73.60744,-341.75003,99.17713,108.36444,57812.76687171732,73.86216,99.99,,9.99,,,,22.277489,0.216278,0.050584,0.510742,0.469849,92.25,20.855696,0.030005,0.014347,0.632812,0.594116,93.74805,19.462137,0.023268,0.009401,0.693604,0.650391,25.136719,18.858177,0.012814,0.007574,0.651855,0.572754,14.408854,99.99,,9.99,,,,99.99,,9.99,,,,0.62028,0.005708,0.571712,0.005164,59.184376,17.44352,1.170638,0.949121,0.056558,90.62613,134095,15,15,2584321,536479,164874712,0,0,4,4,4,4,4,4,3,3,0,0,0,0,0,134095_8879,0.113538,0.038303,0.03458,0.490963,0.283574,0.810633,0.373132,1.25515,-0.445698,0,0,21.428630847930908
