mag_V,mag_I,ra,dec,color,delta_V,delta_I
24.606322822952265,25.2806985,146.1725674,-21.2932734,-0.6743756770477347,,
22.79352282295227,22.3400985,146.1716349,-21.2893965,0.4534243229522694,0.37427922859191654,
23.181422822952264,24.0476985,146.1717856,-21.2691514,-0.8662756770477351,,
24.712122822952267,24.166698500000003,146.1722139,-21.29485,0.5454243229522646,0.4390328689575167,
22.041922822952266,23.1000985,146.1715428,-21.2920286,-1.0581756770477355,,
16.97072282295227,15.944098500000003,146.168535,-21.3035788,1.0266243229522658,,
25.214422822952265,24.3157985,146.1719562,-21.2987722,0.8986243229522657,,
19.963522822952264,18.652998500000002,146.1700693,-21.288986,1.3105243229522614,,
22.400722822952268,22.585898500000003,146.1707273,-21.2812173,-0.1851756770477344,,
23.27792282295227,22.3288985,146.1715401,-21.3171093,0.949024322952269,,
24.634422822952267,23.6034985,146.1713829,-21.3039706,1.0309243229522664,,
23.289722822952264,22.7045985,146.1710605,-21.2918841,0.5851243229522645,0.34126307983398263,
22.84252282295227,22.9116985,146.170863,-21.2922569,-0.0691756770477312,,
21.563722822952265,21.026598500000002,146.1705314,-21.3103175,0.5371243229522626,0.22294298706054505,
22.729822822952265,21.6685985,146.1694033,-21.2830214,1.0612243229522633,,
23.322922822952265,22.9387985,146.1705881,-21.2916564,0.38412432295226395,,
22.27962282295227,22.5408985,146.1703053,-21.2922024,-0.26127567704773114,,
21.804322822952265,21.2320985,146.1698646,-21.2899172,0.5722243229522661,,
24.172922822952266,24.714198500000002,146.1706793,-21.317073,-0.5412756770477358,0.06262832717895606,
24.027522822952264,23.067598500000003,146.1692206,-21.2698319,0.9599243229522614,,
20.339422822952265,19.9802985,146.1665248,-21.290182,0.3591243229522654,,
24.63942282295227,23.8046985,146.1696624,-21.3205913,0.834724322952269,,
24.937722822952267,24.2923985,146.1692014,-21.2735069,0.6453243229522663,0.5330035583496056,
22.86162282295227,22.7135985,146.1686836,-21.2866554,0.14802432295227064,,
22.35642282295227,23.215598500000002,146.1685245,-21.2669877,-0.8591756770477339,,
24.19402282295227,22.8536985,146.1670762,-21.3203079,1.34032432295227,0.07530695953369104,-0.193562
23.70852282295227,22.9139985,146.1684848,-21.2946882,0.7945243229522667,,
15.758622822952267,14.4010985,146.1632663,-21.2907078,1.3575243229522673,,
23.65312282295227,24.6832985,146.1689763,-21.2946586,-1.0301756770477297,,
23.835322822952264,23.6904985,146.1684816,-21.3082736,0.14482432295226388,,
